tv,name,sector,industry,mcap_b,summary
NASDAQ:EWBC,"East West Bancorp, Inc.",Financial Services,Banks - Regional,17.6,"East West Bancorp, Inc. operates as the bank holding company for East West Bank that provides a range of personal and commercial banking services to businesses and individuals in the United States. The company operates through three segments: Consumer and Business Banking, Commercial Banking, and Treasury and Other. It accepts various deposit products, such as personal and business checking and sa"
NASDAQ:UMBF,UMB Financial Corporation,Financial Services,Banks - Regional,10.7,"UMB Financial Corporation operates as a bank holding company that provides banking services and asset servicing in the United States and internationally. The company operates through three segments: Commercial Banking, Institutional Banking, and Personal Banking. The Commercial Banking segment provides commercial loans and credit cards; commercial real estate financing; letters of credit; loan syn"
NYSE:CSL,Carlisle Companies Incorporated,Industrials,Building Products & Equipment,13.4,"Carlisle Companies Incorporated operates as a manufacturer and supplier of building envelope products and solutions in the United States, Europe, North America, and internationally. It operates through two segments, Carlisle Construction Materials (CCM) and Carlisle Weatherproofing Technologies (CWT). The CCM segment offers single-ply roofing solutions, including ethylene propylene diene monomer, "
NYSE:AME,"AMETEK, Inc.",Industrials,Specialty Industrial Machinery,54.4,"AMETEK, Inc. manufactures and sells electronic instruments (EIG) and electromechanical (EMG) devices in the United States and internationally. It operates through EIG and EMG segments. The company offers advanced instruments for the process, aerospace, power, and industrial markets; process and analytical instruments for the oil and gas, petrochemical, pharmaceutical, semiconductor, automation, an"
NYSE:BNT,Brookfield Wealth Solutions Ltd,Financial Services,Insurance - Diversified,10.6,"Brookfield Wealth Solutions Ltd., through its subsidiaries, provides retirement services, wealth protection products, and capital solutions to individuals and institutions. It operates through Annuities, Property and Casualty (P&C), Life Insurance segments. The Annuities segment offers retail and institutional annuities, including fixed index, fixed rate, single premium immediate, and variable ann"
NASDAQ:WTFC,Wintrust Financial Corporation,Financial Services,Banks - Regional,10.1,"Wintrust Financial Corporation, a financial holding company, provides community-oriented, personal, and commercial banking services in the United States. It operates through three segments: Community Banking, Specialty Finance, and Wealth Management. The Community Banking segment offers non-interest-bearing deposits, non-brokered interest-bearing transaction accounts, and savings and domestic time"
NYSE:SUNB,"Sunbelt Rentals Holdings, Inc.",Industrials,Rental & Leasing Services,31.4,"Sunbelt Rentals Holdings, Inc., together with its subsidiaries, engages in the construction, industrial, and general equipment rental business under the Sunbelt Rentals brand name in the United States, the United Kingdom, and Canada. The company operates through North America-General Tool, North America-Specialty, and United Kingdom segments. It provides construction, industrial and general equipm"
NASDAQ:WSE,Wise Group plc,Technology,Information Technology Services,12.2,"Wise Group plc provides cross-border and domestic financial services in the United Kingdom, the rest of Europe, the Asia-Pacific, North America, and internationally. It offers money transfers, currency conversions, and account services. The company's products include Wise Account, a solution for individual customers to send, spend, hold, and get paid in one or more currencies; Wise Business, which"
NYSE:ALC,Alcon Inc.,Healthcare,Medical Instruments & Supplies,33.3,"Alcon Inc. researches, develops, manufactures, distributes, and sells eye care products worldwide. The company operates through two segments, Surgical and Vision Care. It offers equipment, instrumentation and diagnostics, intraocular lenses (IOLs), and other implantables; and consumables, including viscoelastics, surgical solutions, incisional instruments, surgical custom packs, and other products"
NYSE:ITT,ITT Inc.,Industrials,Specialty Industrial Machinery,0.0,"ITT Inc., together with its subsidiaries, manufactures and sells engineered critical components and customized technology solutions for the transportation, industrial, and energy markets. The company operates three segments: Motion Technologies, Industrial Process, and Connect & Control Technologies. The Motion Technologies segment manufactures brake pads, shock absorbers, energy absorption compon"
NYSE:PS,Pershing Square Inc.,Financial Services,Asset Management,14.9,"Pershing Square Inc. operates as an alternative asset manager. The company was formerly known as Pershing Square Holdco, L.P. The company was incorporated in 2024 and is based in New York, New York. Pershing Square Inc. operates as a subsidiary of Pershing Square Partner Group, LLC."
NYSE:A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,40.8,"Agilent Technologies, Inc. provides application focused solutions to the life sciences, diagnostics, and applied chemical markets worldwide. The company operates through three segments: Life Sciences and Diagnostics Markets, Agilent CrossLab, and Applied Markets. The Life Sciences and Diagnostics Markets segment offers liquid chromatography systems and components; and liquid chromatography mass sp"
NYSE:AA,Alcoa Corporation,Basic Materials,Aluminum,13.4,"Alcoa Corporation, together with its subsidiaries, engages in the bauxite mining, alumina refining, aluminum production, and energy generation business in Australia, Brazil, Canada, Iceland, Norway, Spain, the United States, and internationally. The company operates through two segments: Alumina and Aluminum. It operates bauxite and other aluminous ores mining and processes bauxite into alumina fo"
NASDAQ:AAPL,Apple Inc.,Technology,Consumer Electronics,4580.8,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple Vision Pro, Apple TV, Apple Watch, Beats products, and HomePod, as well as Apple brande"
NYSE:ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,440.4,"AbbVie Inc., a research-based biopharmaceutical company, engages in the research and development, manufacturing, commercializing, and sale of medicines and therapies worldwide. The company offers Skyrizi to treat autoimmune diseases; Rinvoq to treat inflammatory diseases; Imbruvica for the treatment of adult patients with blood cancers; Venclexta to treat blood cancers; Elahere to treat various ca"
NYSE:ABEV,Ambev S.A.,Consumer Defensive,Beverages - Brewers,46.3,"Ambev S.A., through its subsidiaries, engages in the production, distribution, and sale of beer, draft beer, soft drinks, malt and food, and other beverages in Brazil, Central America and Caribbean, Latin America South, and Canada. The company offers beer, ready-to-drink cocktails and spritzers, soft drinks, water, teas, and isotonic drinks under the Brahma, Skol, Antarctica, Original, Quilmes, An"
NASDAQ:ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,101.9,"Airbnb, Inc., together with its subsidiaries, operates a platform for stays, experiences, and services worldwide. The company's marketplace connects hosts and guests online or through mobile devices to book spaces, experiences, and services. It also offers gift cards. The company was formerly known as AirBed & Breakfast, Inc. and changed its name to Airbnb, Inc. in November 2010. Airbnb, Inc. was "
NYSE:ABT,Abbott Laboratories,Healthcare,Medical Devices,182.8,"Abbott Laboratories, together with its subsidiaries, discovers, develops, manufactures, and sells health care products worldwide. It operates in four segments: Established Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Medical Devices. The company offers generic pharmaceuticals for the treatment of pancreatic exocrine insufficiency, irritable bowel syndrome or biliary spas"
TSX:ABX,BARRICK MINING CORPORATION,Basic Materials,Gold,101.4,"Barrick Mining Corporation engages in the exploration, development, production, and sale of mineral properties. It explores for gold, copper, silver, and energy materials. The company was formerly known as Barrick Gold Corporation and changed its name to Barrick Mining Corporation in May 2025. Barrick Mining Corporation was founded in 1983 and is based in Toronto, Canada."
NASDAQ:ACGL,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,32.7,"Arch Capital Group Ltd., together with its subsidiaries, provides insurance, reinsurance, and mortgage insurance products in the United States, Canada, Bermuda, the United Kingdom, Europe, and Australia. The company operates through three segments: Insurance, Reinsurance, and Mortgage. The Insurance segment offers commercial automobile; commercial multiperil; financial and professional line liabil"
NYSE:ACN,Accenture plc,Technology,Information Technology Services,108.4,"Accenture plc provides strategy and consulting, industry X, song, and technology and operation services in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. It offers systems integration and application management; security; intelligent platform; infrastructure; software engineering; data, AI, cloud; and automation and global delivery services. The company also operates business"
NASDAQ:ADBE,Adobe Inc.,Technology,Software - Application,101.8,"Adobe Inc. operates as a technology company worldwide. The Digital Media segment offers products and services that enable individuals, teams, and enterprises to create, publish, and promote content. This segment serves photographers, video editors, graphic and experience designers, game developers, content creators, students, marketers, business owners, knowledge workers, and consumers. The Digita"
NASDAQ:ADI,"Analog Devices, Inc.",Technology,Semiconductors,176.4,"Analog Devices, Inc. engages in the design, manufacture, testing, and marketing of integrated circuits (ICs), software, and subsystems products in the United States, rest of North and South America, Europe, Japan, China, and rest of Asia. It provides data converter products, which translate real-world analog signals into digital data, as well as translates digital data into analog signals; power m"
NYSE:ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,41.2,"Archer-Daniels-Midland Company provides human and animal nutrition ingredients and solutions in the United States, Switzerland, the Cayman Islands, Brazil, Mexico, Canada, the United Kingdom, and internationally. It operates in three segments: Ag Services and Oilseeds; Carbohydrate Solutions; and Nutrition. The company engages in the origination, merchandising, transportation, and storage of agric"
NASDAQ:ADP,"Automatic Data Processing, Inc.",Technology,Software - Application,105.4,"Automatic Data Processing, Inc. provides cloud-based human capital management (HCM) solutions worldwide. It operates in two segments, Employer Services and Professional Employer Organization (PEO). The Employer Services segment offers strategic, cloud-based platforms, and human resources (HR) outsourcing solutions. This segment's offerings include RUN Powered by ADP, a software platform for small "
NASDAQ:ADSK,"Autodesk, Inc.",Technology,Software - Application,43.2,"Autodesk, Inc. engages in the provision of 3D design, engineering, and entertainment technology solutions worldwide. The company offers AutoCAD Civil 3D, a surveying, design, analysis, and documentation solution; Autodesk Build, a toolset for managing, sharing, and accessing project documents for streamlined workflows between the office, trailer, and jobsite; Revit, a software built for building i"
NYSE:AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric,29.2,"Ameren Corporation, together with its subsidiaries, operates as a public utility holding company in the United States. The company operates through four segments: Ameren Missouri, Ameren Illinois Electric Distribution, Ameren Illinois Natural Gas, and Ameren Transmission. It engages in the rate-regulated electric generation, transmission, and distribution business and natural gas transmission and "
NYSE:AEG,Aegon Ltd. New York Registry Sh,Financial Services,Insurance - Diversified,13.5,"Aegon Ltd. provides insurance services in the Americas, the Netherlands, the United Kingdom, and internationally. It offers retirement plans, mutual funds, and unit-linked products; and annuities, life, and health insurance. The company provides its products under the Transamerica and World Financial Group brands. Aegon Ltd. was founded in 1844 and is based in Schiphol, the Netherlands."
NASDAQ:AEIS,"Advanced Energy Industries, Inc",Industrials,Electrical Equipment & Parts,11.6,"Advanced Energy Industries, Inc. provides precision power conversion, measurement, and control solutions in the United States, Asia, Europe, and internationally. The company's plasma power products offer solutions to enable innovation for semiconductor and thin film plasma processes, such as dry etch and deposition. It also provides high and low voltage power products used in a range of applicatio"
TSX:AEM,AGNICO EAGLE MINES LIMITED,Basic Materials,Gold,142.4,"Agnico Eagle Mines Limited, a gold mining company, engages in the exploration, development, and production of precious metals. It explores for gold, silver, copper, and zinc. The company's mines are located in Canada, Australia, Finland, and Mexico; and with exploration and development activities in Canada, Australia, Europe, Latin America, and the United States. Agnico Eagle Mines Limited was inc"
NYSE:AEM,Agnico Eagle Mines Limited,Basic Materials,Gold,103.2,"Agnico Eagle Mines Limited, a gold mining company, engages in the exploration, development, and production of precious metals. It explores for gold, silver, copper, and zinc. The company's mines are located in Canada, Australia, Finland, and Mexico; and with exploration and development activities in Canada, Australia, Europe, Latin America, and the United States. Agnico Eagle Mines Limited was inc"
NASDAQ:AEP,American Electric Power Company,Utilities,Utilities - Regulated Electric,67.6,"American Electric Power Company, Inc., an electric public utility holding company, engages in the generation, transmission, and distribution of electricity for sale to retail and wholesale customers in the United States. It operates through Vertically Integrated Utilities, Transmission and Distribution Utilities, AEP Transmission Holdco, and Generation & Marketing segments. The company generates e"
NYSE:AER,AerCap Holdings N.V.,Industrials,Rental & Leasing Services,22.2,"AerCap Holdings N.V. engages in the lease, financing, sale, and management of commercial flight equipment in the United States, China, and internationally. The company engages in aircraft and engine asset management services, such as remarketing aircraft and engines for lease or sale; collecting rental and supplemental maintenance rent payments, monitoring aircraft maintenance, monitoring and enfo"
NYSE:AFL,AFLAC Incorporated,Financial Services,Insurance - Life,57.5,"Aflac Incorporated, through its subsidiaries, provides supplemental health and life insurance products. It operates in two segments, Aflac Japan and Aflac U.S. The Aflac Japan segment offers cancer, medical, nursing care, whole life, and GIFT insurance products, as well as WAYS and child endowment, and Tsumitasu insurance products in Japan. Its Aflac U.S. segment provides accident, disability, can"
NASDAQ:AFRM,"Affirm Holdings, Inc.",Financial Services,Credit Services,23.2,"Affirm Holdings, Inc. operates payment network in the United States, Canada, and internationally. Its platform offers pay-over-time solutions at checkout for both consumers and merchants. The company's commerce platform, agreements with originating banks, and capital markets partners enables consumers to pay for a purchase over time. It has active merchants covering small businesses, large enterpr"
TSX:AGI,ALAMOS GOLD INC CLS A,Basic Materials,Gold,21.4,"Alamos Gold Inc. operates as a gold producer in Canada and Mexico. It primarily explores for gold deposits. The company was founded in 2003 and is based in Toronto, Canada."
NYSE:AGI,Alamos Gold Inc.,Basic Materials,Gold,15.5,"Alamos Gold Inc. operates as a gold producer in Canada and Mexico. It primarily explores for gold deposits. The company was founded in 2003 and is based in Toronto, Canada."
NASDAQ:AGNC,AGNC Investment Corp.,Real Estate,REIT - Mortgage,12.6,AGNC Investment Corp. provides private capital to housing market in the United States. It invests in residential mortgage pass-through securities and collateralized mortgage obligations for which the principal and interest payments are guaranteed by the United States government-sponsored enterprise or by the United States government agency. The company qualifies as a real estate investment trust f
NYSE:AHR,"American Healthcare REIT, Inc.",Real Estate,REIT - Healthcare Facilities,11.7,"American Healthcare REIT, Inc., a Maryland-based self-managed REIT, owns and operates a diversified portfolio of clinical healthcare real estate across the U.S., U.K., and the Isle of Man. Its focus includes senior housing, skilled nursing facilities (SNFs), outpatient medical (OM) buildings, and other healthcare-related properties. The company utilizes a fully integrated management platform and o"
NYSE:AIG,"American International Group, I",Financial Services,Insurance - Diversified,39.0,"American International Group, Inc. provides insurance products for commercial, institutional, and individual customers in North America and internationally. It operates through three segments: North America Commercial, International Commercial, and Global Personal. The company offers commercial and industrial property insurance, including business interruption and package insurance that cover expo"
NYSE:AIT,Applied Industrial Technologies,Industrials,Industrial Distribution,11.9,"Applied Industrial Technologies, Inc. distributes industrial motion, fluid power, flow control, automation technologies, and related maintenance supplies in the United States, Canada, Mexico, Australia, New Zealand, Singapore, and Costa Rica. It operates in two segments, Service Center and Engineered Solutions. The Service Center segment distributes industrial bearings, power transmission, fluid p"
NYSE:AIZ,"Assurant, Inc.",Financial Services,Insurance - Property & Casualty,13.9,"Assurant, Inc. provides protection services to connected devices, homes, and automobiles in North America, Latin America, Europe, and the Asia Pacific. It operates through Global Lifestyle and Global Housing segments. The Global Lifestyle segment offers mobile device solutions, and extended service contracts and related services for consumer electronics and appliances, and credit and other insuran"
NYSE:AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers,63.1,"Arthur J. Gallagher & Co., together with its subsidiaries, provides insurance and reinsurance brokerage, consulting, and third-party property/casualty claims settlement and administration services to entities and individuals worldwide. The company operates in Brokerage and Risk Management segments. Its Brokerage segment offers retail and wholesale insurance and reinsurance brokerage services; assi"
NASDAQ:AKAM,"Akamai Technologies, Inc.",Technology,Software - Infrastructure,16.1,"Akamai Technologies, Inc. engages in the provision of security, delivery, and cloud computing solutions in the United States and internationally. It offers security solutions that include web application and application programming interfaces (API) protection solutions, which protect web, API, and mobile app traffic from attacks; Bot & Abuse portfolio, which provides solutions to help customers pr"
TSX:ALA,ALTAGAS LTD.,Energy,Oil & Gas Midstream,16.8,"AltaGas Ltd. operates as an energy infrastructure company in North America. It operates through the Utilities and Midstream segments. The Utilities segment owns and operates franchised, cost-of-service, and rate-regulated natural gas distribution and storage utilities for residential and commercial customers. This segment also offers storage facilities and contracts for interstate natural gas tran"
NASDAQ:ALAB,"Astera Labs, Inc.",Technology,Semiconductors,52.7,"Astera Labs, Inc. designs, manufactures, and sells semiconductor-based connectivity solutions for cloud and AI infrastructure in Taiwan and the United States. It offers an intelligent connectivity platform, comprised of semiconductor-based, high-speed, mixed-signal connectivity products that integrate a matrix of microcontrollers and sensors, and COSMOS. The company provides COSMOS software suite,"
NYSE:ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,14.8,"Albemarle Corporation provides energy storage solutions worldwide. It operates through three segments: Energy Storage, Specialties, and Ketjen. The Energy Storage segment offers lithium compounds, including lithium carbonate, lithium hydroxide, and lithium chloride for use in lithium batteries used in consumer electronics and electric vehicles; power grids and solar panels; high-performance grease"
NASDAQ:ALGN,"Align Technology, Inc.",Healthcare,Medical Instruments & Supplies,10.9,"Align Technology, Inc. provides Invisalign clear aligners, Vivera retainers, and iTero intraoral scanners and services in the United States, Switzerland, and internationally. The company's Clear Aligner segment offers Invisalign comprehensive package to treat adults and teens malocclusion and features, and orthodontic needs of teenage or younger patients; and Invisalign First Phase I and Invisalig"
NYSE:ALL,Allstate Corporation (The),Financial Services,Insurance - Property & Casualty,64.1,"The Allstate Corporation, together with its subsidiaries, provides property and casualty, and other insurance products in the United States and Canada. It operates in four segments: Allstate Protection; Run-off Property-Liability; Protection Services; and Corporate and Other. The company offers private passenger auto, homeowners, other personal lines and commercial insurance through exclusive agen"
NYSE:ALLE,Allegion plc,Industrials,Security & Protection Services,13.0,"Allegion plc engages in the provision of security products and solutions worldwide. It is operating through two segments: Allegion Americas and Allegion International. The company offers door controls, door control system, and exit devices; doors, glass and door systems, and accessories; electronic security products and access control systems, including time, attendance, and workforce productivity"
NYSE:ALLY,Ally Financial Inc.,Financial Services,Credit Services,12.7,"Ally Financial Inc., a digital financial-services company, provides various digital financial products and services in the United States and Canada. The company operates through Automotive Finance operations, Insurance operations, and Corporate Finance operations. It offers automotive financing services, including providing retail installment sales contracts, loans and operating leases, term loans"
NASDAQ:ALNY,"Alnylam Pharmaceuticals, Inc.",Healthcare,Biotechnology,34.2,"Alnylam Pharmaceuticals, Inc. discovers, develops, manufactures, and commercializes therapeutics based on ribonucleic acid interference in the United States, Europe, and internationally. The company offers ONPATTRO for hereditary transthyretin-mediated (hATTR) amyloidosis; AMVUTTRA for ATTR and hATTR amyloidosis; Leqvio for hypercholesterolemia; Qfitlia for hemophilia A or B; GIVLAARI for acute he"
NYSE:AM,Antero Midstream Corporation,Energy,Oil & Gas Midstream,10.8,"Antero Midstream Corporation owns, operates, and develops midstream energy assets in the Appalachian Basin. It operates in two segments, Gathering and Processing, and Water Handling. The gathering and processing segment includes a network of gathering pipelines and compressor stations that collect and process natural gas and NGLs from Antero Resources' wells in West Virginia and Ohio. The Water Ha"
NASDAQ:AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,371.3,"Applied Materials, Inc. provides materials engineering solutions, equipment, services, and software to the semiconductor and related industries in the United States, China, Korea, Taiwan, Japan, Southeast Asia, Europe, and internationally. The company operates through Semiconductor Systems and Applied Global Services (AGS) segments. The Semiconductor Systems segment includes semiconductor capital "
NYSE:AMCR,Amcor plc,Consumer Cyclical,Packaging & Containers,20.0,"Amcor plc, together with its subsidiaries, develops and produces packaging solutions for nutrition, health, beauty, and wellness categories in Europe, North America, Latin America, and the Asia Pacific. Its products include apparel, applicators, bags and bulk bags, bottles and vials, building materials, canisters and jerrycans, drinking cups, films and laminates, jars, lids, tapes and adhesives, t"
NASDAQ:AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,211.5,"Amgen Inc. discovers, develops, manufactures, and delivers human therapeutics worldwide. The company's principal products include Enbrel for the treatment of rheumatoid arthritis, plaque psoriasis, and psoriatic arthritis; Otezla for the treatment of adult patients with plaque psoriasis, psoriatic arthritis, and oral ulcers associated with Behçet's disease; Prolia to treat postmenopausal women wit"
NYSE:AMH,American Homes 4 Rent,Real Estate,REIT - Residential,13.1,"American Homes 4 Rent is a leading large-scale integrated owner, operator and developer of single-family rental homes. We're an internally managed Maryland real estate investment trust (REIT) focused on developing, renovating, leasing and managing homes as rental properties. As of June 30, 2026, we owned over 61,000 single-family properties in the Southeast, Midwest, Southwest and Mountain West re"
NASDAQ:AMKR,"Amkor Technology, Inc.",Technology,Semiconductor Equipment & Materials,12.7,"Amkor Technology, Inc. provides outsourced semiconductor packaging and test services in the United States, Japan, Europe, and the Asia Pacific. It offers turnkey packaging and test services, including semiconductor wafer bump, wafer probe, wafer back-grind, package design, packaging, burn-in, system-level and final test, and drop shipment services; flip chip scale package products for smartphones,"
NYSE:AMP,"Ameriprise Financial, Inc.",Financial Services,Asset Management,48.8,"Ameriprise Financial, Inc., together with its subsidiaries, operates as a diversified financial services company in the United States and internationally. The company offers financial planning and advice services to individual and institutional clients. It operates through Advice & Wealth Management, Asset Management, Retirement & Protection Solutions, Corporate & Other segments. The Advice & Weal"
NYSE:AMRZ,Amrize Ltd,Basic Materials,Building Materials,22.6,"Amrize AG engages in the provision of various building solutions for infrastructure, commercial, and residential construction markets in North America and Canada. It operates through two segments, Building Materials and Building Envelope. The Building Materials segment offers cement and aggregates, as well as ready-mix concrete, asphalt, and other construction materials. The Building Envelope segm"
NYSE:AMT,American Tower Corporation (REI,Real Estate,REIT - Specialty,81.5,"American Tower Corporation one of the largest global REITs, is a leading independent owner, operator and developer of multitenant communications real estate with a portfolio of over 148,000 communications sites and a highly interconnected footprint of U.S. data center facilities. American Tower Corporation was incorporated in 1995 in Delaware and is based in Massachusetts, Boston."
NYSE:AMX,"America Movil, S.A.B. de C.V.",Communication Services,Telecom Services,69.1,"América Móvil, S.A.B. de C.V. provides telecommunications services in Latin America and internationally. It offers wireless and fixed-line voice services, including airtime, local, domestic, and international long-distance services; and network interconnection services. The company provides data services, such as data centers, data administration, and hosting services to residential and corporate "
NASDAQ:AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,2709.9,"Amazon.com, Inc. engages in the retail sale of consumer products, advertising, and subscriptions service through online and physical stores in North America and internationally. The company operates through three segments: North America, International, and Amazon Web Services (AWS). It also manufactures and sells electronic devices, including Kindle, fire tablets, fire TVs, echo, ring, blink, and "
NYSE:ANET,"Arista Networks, Inc.",Technology,Computer Hardware,246.0,"Arista Networks, Inc. engages in the development, marketing, and sale of data-driven, client to cloud networking solutions for AI, data center, campus, and routing environments in the Americas, Europe, the Middle East, Africa, and the Asia-Pacific. Its cloud networking solutions consist of Extensible Operating System (EOS), a publish-subscribe state-sharing networking operating system offered in c"
NYSE:AON,Aon plc,Financial Services,Insurance Brokers,65.3,"Aon plc operates as a professional services firm in the United States, rest of the Americas, the United Kingdom, Ireland, rest of Europe, the Middle East, Africa, and the Asia Pacific. It operates through Risk Capital and Human Capital segments. The company offers commercial risk solutions comprising retail and insurance brokerage, specialty solutions, global risk consulting, captives management, "
NASDAQ:APA,APA Corporation,Energy,Oil & Gas E&P,15.5,"APA Corporation, an independent energy company, explores for, develops, and produces natural gas, crude oil, and natural gas liquids. The company has oil and gas operations in the United States, Egypt, and North Sea. It also has exploration and appraisal activities in Suriname, as well as holds interests in projects located in Uruguay and internationally. APA Corporation was incorporated in 1954 a"
NASDAQ:APC,ARKO Petroleum Corp.,Energy,Oil & Gas Refining & Marketing,1.6,"ARKO Petroleum Corp. operates as a fuel distributor in North America. The company operates through three segments: Wholesale, Fleet Fueling, and GPMP. The Wholesale segment supplies fuel to gas stations operated by third-party dealers, sub-wholesalers, and bulk and spot purchasers. The Fleet Fueling segment engages in the operation of proprietary and third-party cardlock locations that sell fuel t"
